platform,captured_at,posted_at,username,post_id,content,source_url,keyword,detection_cycle
Twitter,2025-09-08T03:34:42.775493,2025-09-07T21:02:20.000Z,lou_alcot,1964796399125663924,"Revised plan for Texas border wall.
Keep the 90ft monkey god statues in Texas.",https://twitter.com/lou_alcot/status/1964796399125663924,Texas Border Wall,1
Twitter,2025-09-08T03:34:42.814330,2025-09-07T21:00:53.000Z,FederalNewswire,1964796034158080459,"Homeland Security Secretary Kristi Noem signed a waiver to expedite the construction of about five miles of new 30-foot border wall in Starr and Hidalgo Counties, Texas. 
https://
buff.ly/uYugCtp",https://twitter.com/FederalNewswire/status/1964796034158080459,Texas Border Wall,1
Twitter,2025-09-07T20:17:23.381830,2025-09-07T17:22:25.000Z,keithpenny,1964741057423585640,"http://
krgv.com/news/environme
ntal-laws-waived-for-border-wall-construction-in-hidalgo-and-starr-counties
… 'Counties Texas' Keep Building the WALL.  Cartel > 
@JoeBiden
 
@DrBiden
 GO > 
@realDonaldTrump
 
@ICEgov
 
@DHSgov
 
@Sec_Noem
 
@BetoORourke
 
@texasdemocrats
 
@RepJasmine
 
@RealTomHoman
 
@TheDemocrats
 
@AOC
 
@SenSanders
 
@JamesCarville
 
@ProjectLincoln
 
@kwelkernbc
 
@SRuhle",https://twitter.com/keithpenny/status/1964741057423585640,Texas Border Wall,2
Twitter,2025-09-07T20:17:23.407951,2025-09-07T16:00:22.000Z,Ral10506,1964720405631168650,"Texas ? No beer, no BBQ ? Somebody better get down to Bubba’s. He’s gonna be catapulting rags across the border wall.",https://twitter.com/Ral10506/status/1964720405631168650,Texas Border Wall,2
Twitter,2025-09-07T20:17:23.428423,2025-09-06T18:01:00.000Z,grok,1964388377794662850,"Estimates vary by source:

- Border wall painting black: $500M to $2.72B (e.g., Texas Tribune, Yahoo).

- Gulf of Mexico rename to Gulf of America: <$500K (CBO) to $4B (some analysts, including diplomatic costs).

- Dept. of Defense to Dept. of War: Millions (e.g., $39M for",https://twitter.com/grok/status/1964388377794662850,Texas Border Wall,2
Twitter,2025-09-07T20:17:25.061529,2025-09-05T19:34:34.000Z,bubyenow,1964049536890130795,California literally has a wall all across their southern border. You need to talk with Texas. Their borders are wide open.,https://twitter.com/bubyenow/status/1964049536890130795,Texas Border Wall,2
Twitter,2025-09-07T20:17:25.100893,2025-09-05T18:59:37.000Z,whitenoisyish,1964040741216252008,"My take is he's giving himself an alibi for killing anyone caught on a boat, like people trying to flee the U.S.  

Keep in mind, he painted OUR side of Mexican border wall & Gov. Abbott has mentioned new barriers on the east & north sides of Texas.",https://twitter.com/whitenoisyish/status/1964040741216252008,Texas Border Wall,2
Twitter,2025-09-07T20:09:32.966735,2025-09-05T16:51:57.000Z,JayHSalem,1964008613329936814,"One of Trump's major promises was to build a wall. We are the richest nation on Earth, and China built a massive wall thousands of years ago, so it seems feasible

Despite this, to this day, Texas (a very conservative state generally) only has 8% of the total border wall built",https://twitter.com/JayHSalem/status/1964008613329936814,Texas Border Wall,1
Twitter,2025-09-07T20:09:42.288732,2025-09-05T01:16:21.000Z,Evilspawn4,1963773160165187679,“Trump to bulldoze Texas wildlife refuge for border wall. “,https://twitter.com/Evilspawn4/status/1963773160165187679,Texas Border Wall,1
Twitter,2025-09-07T20:09:24.279805,2025-09-04T14:00:02.000Z,USNationalGuard,1963602961403408395,"Texas National Guard members install concertina wire on the federal border wall in Brownsville to serve as a physical and visual deterrent to migrants looking to cross into Texas illegally. 


https://
flic.kr/s/aHBqjBZFvE 
@TXMilitary",https://twitter.com/USNationalGuard/status/1963602961403408395,Texas Border Wall,1
Twitter,2025-09-07T20:10:00.019637,2025-09-03T15:29:18.000Z,SuJoDar,1963263037693161806,"Cornyn is nothing more than a play along to get along RINO and needs to go. When we lived in Texas he showed that he was not a conservative and he lied when he said that Texans didn't support a border wall.

The Republican establishment is  spending big to protect incumbent U.S.",https://twitter.com/SuJoDar/status/1963263037693161806,Texas Border Wall,1
Twitter,2025-09-07T20:09:51.279271,2025-09-03T05:49:17.000Z,taxtweet,1963117072726065321,"Literally ETTD. Trump to bulldoze Texas wildlife refuge for border wall 
https://
chron.com/life/wildlife/
article/trump-border-wall-texas-21018256.php?utm_campaign=CMS%20Sharing%20Tools%20(Premium)&utm_source=t.co&utm_medium=referral
… via 
@chron",https://twitter.com/taxtweet/status/1963117072726065321,Texas Border Wall,1
Twitter,2025-09-07T20:09:54.569555,2025-08-30T21:43:02.000Z,perrylanetexas,1961907537634017747,"Trump to bulldoze Texas wildlife refuge for border wall 
https://
chron.com/life/wildlife/
article/trump-border-wall-texas-21018256.php?utm_campaign=CMS%20Sharing%20Tools%20(Premium)&utm_source=t.co&utm_medium=referral
… via 
@chron",https://twitter.com/perrylanetexas/status/1961907537634017747,Texas Border Wall,1
Twitter,2025-09-07T20:09:44.120803,2025-08-30T02:00:36.000Z,ExpressNews,1961609969838465220,"In the midst of Trump's continued crackdown on undocumented immigration, he's pressing forward with Texas border wall construction.

The president waived 31 environmental and public health laws to ""bulldoze"" through the Lower Rio Grande Valley National Wildlife Refuge.",https://twitter.com/ExpressNews/status/1961609969838465220,Texas Border Wall,1
Twitter,2025-09-07T20:09:46.046867,2025-08-29T13:42:33.000Z,DailySignal,1961424235617734713,"There is a gap to plug at the southern border, and it’s not in the wall. 

The Border Patrol in El Paso, Texas, is combating illegal border crossings underground through the city’s extensive storm-drain system.",https://twitter.com/DailySignal/status/1961424235617734713,Texas Border Wall,1
Twitter,2025-09-07T20:09:38.698668,2025-08-29T00:11:48.000Z,DailySignal,1961220200813953030,"Illegal Aliens Use Drains To Sneak Into Texas 
@Virginia_Allen5
 

There is a gap to plug at the southern border, and it's not in the wall. Border Patrol in El Paso, Texas is combatting illegal crossings underground through the city's extensive storm drain system. 

El Paso has",https://twitter.com/DailySignal/status/1961220200813953030,Texas Border Wall,1
Twitter,2025-09-07T20:09:37.003671,2025-08-28T22:43:47.000Z,NewsNation,1961198050325467369,"NewsNation was the only news organization embedded with the Texas Department of Public Safety’s elite brush team and ATV unit Thursday, and, along with the U.S. Border Patrol, witnessed undocumented migrants scaling the border wall to enter the United States.
More:",https://twitter.com/NewsNation/status/1961198050325467369,Texas Border Wall,1
Twitter,2025-09-07T20:09:56.237054,2025-08-28T18:59:21.000Z,chron,1961141573099405824,"Trump just waived 30+ environmental laws to bulldoze a Texas wildlife refuge for his border wall: 
http://
bit.ly/3USLNXB",https://twitter.com/chron/status/1961141573099405824,Texas Border Wall,1
Twitter,2025-09-07T20:09:51.247063,2025-08-28T18:18:44.000Z,JackSuggs711,1961131349357543676,"The ineffective small sections of border wall built by Greg Abbott is the perfect metaphor for his entire tenure. Pointless, useless, and a massive multi-billion-dollar waste of taxpayer money.",https://twitter.com/JackSuggs711/status/1961131349357543676,Texas Border Wall,1
Twitter,2025-09-07T20:09:22.499839,2025-08-28T12:32:45.000Z,jmontforttx,1961044279045816405,"The ineffective small sections of border wall built by 
@GregAbbott_TX
 is the perfect metaphor for his entire tenure. Pointless, useless, and a massive multi-billion-dollar waste of taxpayer money. #txlege 
https://
apps.texastribune.org/features/2024/
texas-border-wall-greg-abbott-landowners/
…",https://twitter.com/jmontforttx/status/1961044279045816405,Texas Border Wall,1
Twitter,2025-09-07T20:09:40.592822,2025-08-28T06:34:45.000Z,jameswdelano,1960954187573027230,"Actually, mate, the wall is built basically on the border but when the build the wall around the border monuments (L) it deviates north. No US Border Patrol agents patrol south of the wall except in Texas where many farms are south of the wall (R), north of the Rio Grande.",https://twitter.com/jameswdelano/status/1960954187573027230,Texas Border Wall,1
Twitter,2025-09-07T20:09:27.699501,2025-08-22T01:00:32.000Z,TheBabylonBee,1958695750969303193,"Texas Builds 600 Miles Of Border Wall Using U-Haul Trucks From California 
https://
buff.ly/zkJ8XnJ",https://twitter.com/TheBabylonBee/status/1958695750969303193,Texas Border Wall,1
Twitter,2025-09-07T20:10:05.880210,2025-08-19T12:29:43.000Z,vincenzo412,1957782025357623390,"Don't fix it, rip it down.

Petition: Tear Down the Texas Border Wall That Trapped and Killed 100+ Animals",https://twitter.com/vincenzo412/status/1957782025357623390,Texas Border Wall,1
Twitter,2025-09-07T20:09:52.928282,2025-08-10T20:15:31.000Z,RodDMartin,1954637758816727310,"4/ Texas even bought $12M worth at auction to build their own wall.

Border Patrol officials said the sold-off parts could “pretty much be utilized” — and that Biden’s sell-off meant paying AGAIN later to replace them.",https://twitter.com/RodDMartin/status/1954637758816727310,Texas Border Wall,1
Twitter,2025-09-07T20:09:58.178430,2025-08-09T18:00:07.000Z,TheBabylonBee,1954241296417120653,"Texas Begins Construction On Northern Border Wall To Keep Democrat Lawmakers From Returning 
https://
buff.ly/p3jruEN",https://twitter.com/TheBabylonBee/status/1954241296417120653,Texas Border Wall,1
Twitter,2025-09-07T20:09:46.006980,2025-08-05T20:21:44.000Z,mcfarlandpllc,1952827382903316947,Land battle continues in Texas over border wall construction,https://twitter.com/mcfarlandpllc/status/1952827382903316947,Texas Border Wall,1
Twitter,2025-09-07T20:09:47.656575,2025-08-04T17:53:33.000Z,TheBabylonBee,1952427702658498630,"Texas Begins Construction On Northern Border Wall To Keep Democrat Lawmakers From Returning 
https://
buff.ly/p3jruEN",https://twitter.com/TheBabylonBee/status/1952427702658498630,Texas Border Wall,1
Twitter,2025-09-07T20:09:24.245475,2025-07-30T22:15:13.000Z,CBP,1950681612821103100,"Wednesday at the Wall!
This week, border wall construction continued, with new panels installed across the Southwest Border. From Texas to California, we are securing the Homeland.",https://twitter.com/CBP/status/1950681612821103100,Texas Border Wall,1
Twitter,2025-09-07T20:09:54.593163,2025-07-19T03:01:06.000Z,KUSINews,1946404903317885076,"WATCH: 1st look at new border wall going up in rural Starr County, Texas",https://twitter.com/KUSINews/status/1946404903317885076,Texas Border Wall,1
Twitter,2025-09-07T20:09:47.683540,2025-07-18T15:30:15.000Z,DallasExpress,1946231047932227687,"Construction on the border wall has restarted in Texas, with federal and state agencies alike touting rapid progress and renewed commitments to securing the U.S.-Mexico border. 
https://
dallasexpress.com/state/from-pro
mise-to-progress-border-wall-expands-with-federal-and-texas-momentum/
…",https://twitter.com/DallasExpress/status/1946231047932227687,Texas Border Wall,1
Twitter,2025-09-07T20:10:03.485613,2025-07-14T02:05:23.000Z,borderObserver,1944578944847483120,"Eagle Pass Bridge I

aka Eagle Pass-Piedras Negras International Bridge

Eagle Pass, Texas - Piedras Negras, Coahuila

The United States is at the bottom of the photo.

Source: Texas Department of Transportation
qt-wall-bridges-020 #borderObserver",https://twitter.com/borderObserver/status/1944578944847483120,Texas Border Wall,1
Twitter,2025-09-07T20:10:07.516312,2025-07-14T01:05:11.000Z,borderObserver,1944563792399986771,"Camino Real International Bridge

aka Eagle Pass-Piedras Negras International Bridge II

Eagle Pass, Texas - Piedras Negras, Coahuila

The United States is at bottom of the photo.

Source: Texas Department of Transportation
qt-wall-bridges-019 #borderObserver",https://twitter.com/borderObserver/status/1944563792399986771,Texas Border Wall,1
Twitter,2025-09-07T20:09:58.234693,2025-07-13T22:05:11.000Z,borderObserver,1944518497326805025,"Gateway to the Americas Bridge

a.k.a Laredo-Nuevo Laredo Bridge 1

Laredo, Texas - Nuevo Laredo, Tamaulipas

The United States is at the bottom of the photo.

Source: Texas Department of Transportation
qt-wall-bridges-016 #borderObserver",https://twitter.com/borderObserver/status/1944518497326805025,Texas Border Wall,1
Twitter,2025-09-07T20:10:01.774296,2025-07-13T21:05:10.000Z,borderObserver,1944503393973674483,"Juarez-Lincoln Bridge

a.k.a. Laredo-Nuevo Laredo Bridge 2

Laredo, Texas - Nuevo Laredo, Tamaulipas

The United States is at the bottom of the photo.

Source: Texas Department of Transportation
qt-wall-bridges-015 #borderObserver",https://twitter.com/borderObserver/status/1944503393973674483,Texas Border Wall,1
Twitter,2025-09-07T20:09:58.219986,2025-07-12T23:05:11.000Z,borderObserver,1944171206137004045,"Anzalduas International Bridge

Mission, Texas - Reynosa, Tamaulipas

The United States is at the bottom of the photo.

Source: Texas Department of Transportation
qt-wall-bridges-010 #borderObserver",https://twitter.com/borderObserver/status/1944171206137004045,Texas Border Wall,1
Twitter,2025-09-07T20:09:58.204535,2025-07-12T22:05:10.000Z,borderObserver,1944156105828917478,"McAllen-Hidalgo International Bridge

Hidalgo, Texas - Reynosa, Tamaulipas

The United States is at the bottom of the photo.

Source: Texas Department of Transportation
qt-wall-bridges-009 #borderObserver",https://twitter.com/borderObserver/status/1944156105828917478,Texas Border Wall,1
Twitter,2025-09-07T20:09:52.948154,2024-08-22T00:00:07.000Z,TheBabylonBee,1826408977250369939,"Texas Builds 600 Miles Of Border Wall Using U-Haul Trucks From California 
https://
buff.ly/3QYHg2p",https://twitter.com/TheBabylonBee/status/1826408977250369939,Texas Border Wall,1
Twitter,2025-09-07T20:09:46.022324,2024-03-06T00:50:41.000Z,Bubblebathgirl,1765178150143529359,"Texas is now installing new border wall in Cameron County.

Let’s goo!!!",https://twitter.com/Bubblebathgirl/status/1765178150143529359,Texas Border Wall,1
Twitter,2025-09-07T20:10:07.559300,2023-05-11T14:53:00.000Z,TheBabylonBee,1656673770080473097,"Texas Builds 600 Miles Of Border Wall Using U-Haul Trucks From California 
https://
buff.ly/3QYHg2p",https://twitter.com/TheBabylonBee/status/1656673770080473097,Texas Border Wall,1
